TIME,B32Irms,I_pu39,I_pu31,I_pu38,I_pu37,I_pu36,I_pu35,I_pu30,I_pu34,I_pu33,I_pu
2.9198,1.71608,0.623735,0.64924,0.62412,0.610191,0.613224,0.639379,0.700228,0.673957,0.656149,0.677361
2.92,1.7163,0.622403,0.648644,0.624369,0.610543,0.614036,0.640076,0.700024,0.674292,0.656198,0.677499
2.9202,1.71645,0.620778,0.648778,0.625232,0.612042,0.614765,0.641375,0.70134,0.674865,0.656359,0.677609
2.9204,1.71627,0.619569,0.649336,0.626033,0.614116,0.615299,0.64249,0.703288,0.675468,0.656525,0.67752
2.9206,1.71584,0.619198,0.649804,0.62635,0.615449,0.615615,0.64276,0.703614,0.67575,0.656491,0.677106
2.9208,1.71618,0.619381,0.649761,0.625979,0.615405,0.615568,0.642408,0.701677,0.675952,0.656102,0.677181
2.921,1.7168,0.619538,0.649432,0.625198,0.61439,0.615467,0.642323,0.69936,0.676421,0.655439,0.67761
2.9212,1.71751,0.619325,0.648797,0.625056,0.61346,0.615547,0.64303,0.69823,0.67681,0.655002,0.678144
2.9214,1.71797,0.618986,0.648165,0.62584,0.613645,0.615854,0.644044,0.697708,0.676663,0.65523,0.67846
2.9216,1.71897,0.618913,0.647348,0.627064,0.615298,0.616373,0.644788,0.69682,0.676073,0.656038,0.67904
2.9218,1.72036,0.619303,0.646185,0.62782,0.618093,0.617278,0.645045,0.695262,0.675908,0.657379,0.680082
2.922,1.72128,0.619999,0.645422,0.627899,0.620211,0.618215,0.644773,0.693995,0.676812,0.658586,0.680867
2.9222,1.72141,0.620814,0.645504,0.627761,0.620728,0.61885,0.644408,0.692178,0.677837,0.658722,0.681062
2.9224,1.72062,0.622133,0.646138,0.627658,0.619345,0.618614,0.64464,0.690038,0.67805,0.658245,0.680551
2.9226,1.71977,0.623133,0.647289,0.627719,0.617644,0.617584,0.645391,0.687975,0.677596,0.658036,0.679731
2.9228,1.72005,0.623414,0.648601,0.627974,0.617323,0.616219,0.646451,0.685712,0.676338,0.658078,0.679632
2.923,1.72149,0.622985,0.648859,0.627989,0.618571,0.615471,0.647057,0.68273,0.6752,0.658558,0.680529
2.9232,1.72295,0.622663,0.648113,0.627621,0.620579,0.615697,0.646869,0.679637,0.674729,0.659646,0.681698
2.9234,1.72347,0.622632,0.647189,0.627223,0.621917,0.616829,0.646266,0.676749,0.675043,0.660653,0.682266
2.9236,1.72289,0.622905,0.647103,0.627534,0.62191,0.617801,0.645592,0.674852,0.675668,0.661333,0.681907
2.9238,1.7218,0.62352,0.647728,0.627969,0.620573,0.617856,0.64543,0.67337,0.676196,0.66121,0.681024
2.924,1.72102,0.624431,0.648341,0.628379,0.619936,0.616489,0.645308,0.671428,0.676091,0.660702,0.680231
2.9242,1.72114,0.625311,0.648371,0.628463,0.620668,0.61508,0.644803,0.669496,0.675408,0.660648,0.680071
2.9244,1.72211,0.625547,0.647792,0.628553,0.622033,0.614236,0.643524,0.668119,0.674602,0.661416,0.680639
2.9246,1.7233,0.625372,0.647158,0.62898,0.623021,0.61462,0.641814,0.667223,0.673836,0.663055,0.681543
2.9248,1.72395,0.62487,0.646957,0.629341,0.622899,0.616831,0.640599,0.666629,0.673726,0.664739,0.682117
2.925,1.72403,0.624296,0.647208,0.629219,0.621824,0.61962,0.63982,0.666163,0.673723,0.665421,0.682182
2.9252,1.72388,0.62393,0.647496,0.628539,0.620517,0.621343,0.639345,0.666042,0.673656,0.665182,0.682012
2.9254,1.72429,0.62398,0.647321,0.627881,0.620246,0.621235,0.638907,0.666588,0.673663,0.664721,0.682077
2.9256,1.72532,0.624382,0.64655,0.62753,0.621443,0.619503,0.638489,0.667015,0.673473,0.664398,0.682767
