TIME,B32Vrms
5.66,225.454
5.665,225.271
5.67,224.602
5.675,223.745
5.68,225.001
5.685,226.55
5.69,225.718
5.695,225.339
5.7,225.974
5.705,226.63
5.71,225.703
5.715,225.541
5.72,226.121
5.725,226.636
5.73,227.318
5.735,227.72
5.74,228.083
5.745,226.561
5.75,225.003
5.755,225.452
5.76,226.287
5.765,225.551
5.77,227.074
5.775,225.068
5.78,225.611
5.785,225.714
5.79,225.539
5.795,224.326
5.8,222.838
5.805,223.581
5.81,224.781
5.815,224.752
5.82,225.022
5.825,225.328
5.83,226.277
5.835,226.148
5.84,225.067
5.845,224.201
5.85,224.552
5.855,223.897
5.86,225.063
5.865,224.189
5.87,224.334
5.875,224.916
5.88,223.869
5.885,224.864
5.89,224.421
5.895,223.993
5.9,225.196
5.905,224.905
5.91,224.728
5.915,223.731
5.92,223.766
5.925,223.165
5.93,223.331
5.935,224.985
5.94,224.571
5.945,223.861
5.95,225.324
5.955,224.256
5.96,224.702
5.965,224.97
5.97,225.779
5.975,224.213
5.98,222.727
5.985,226.15
5.99,225.696
5.995,226.403
6,225.401
6.005,225.193
6.01,226.671
6.015,227.189
6.02,226.325
6.025,225.414
6.03,226.768
6.035,228.746
6.04,228.946
6.045,227.215
6.05,227.125
6.055,225.948
6.06,226.198
6.065,225.677
6.07,225.522
6.075,225.427
6.08,226.707
6.085,226.41
6.09,226.144
6.095,225.81
6.1,224.324
6.105,224.391
6.11,224.332
6.115,224.103
6.12,223.905
6.125,223.961
6.13,225.121
6.135,226.022
6.14,225.149
6.145,225.152
6.15,225.577
6.155,224.604
6.16,224.011
6.165,226.477
6.17,227.472
6.175,226.793
6.18,226.886
6.185,230.328
6.19,228.446
6.195,226.776
6.2,226.526
6.205,225.566
6.21,225.256
6.215,224.726
6.22,225.853
6.225,224.658
6.23,224.527
6.235,224.792
6.24,223.469
6.245,222.838
6.25,224.364
6.255,224.176
6.26,224.076
6.265,224.468
6.27,226.596
6.275,225.399
6.28,224.18
6.285,225.181
6.29,225.157
6.295,223.348
6.3,223.181
6.305,222.468
6.31,221.997
6.315,221.641
6.32,222.403
6.325,221.743
6.33,221.136
6.335,224.307
6.34,223.347
6.345,222.775
6.35,222.527
6.355,222.702
6.36,222.109
6.365,222.635
6.37,222.325
