TIME,I_pu39,I_pu31,I_pu38,I_pu37,I_pu36,I_pu35,I_pu30,I_pu34,I_pu33,I_pu
2.9218,0.633036,0.656831,0.625224,0.608411,0.634886,0.633834,0.69431,0.678024,0.671149,0.666517
2.922,0.634502,0.658479,0.624747,0.607612,0.635353,0.634366,0.694292,0.678411,0.670538,0.666355
2.9222,0.636025,0.658774,0.624944,0.60746,0.635288,0.634778,0.69431,0.67921,0.669784,0.666215
2.9224,0.63713,0.657539,0.625696,0.607267,0.634912,0.635226,0.694943,0.679827,0.669102,0.666879
2.9226,0.637726,0.655834,0.626584,0.607013,0.634532,0.635813,0.694922,0.679998,0.668314,0.667308
2.9228,0.637586,0.655109,0.627055,0.606832,0.634129,0.636351,0.695264,0.679826,0.66737,0.667173
2.923,0.637092,0.655673,0.627338,0.606406,0.633699,0.636895,0.696746,0.679399,0.666461,0.666962
2.9232,0.63652,0.65705,0.627325,0.605548,0.633426,0.637262,0.697715,0.678932,0.665857,0.666824
2.9234,0.636426,0.658571,0.627412,0.604766,0.633936,0.637218,0.697902,0.678835,0.665635,0.667207
2.9236,0.636779,0.659306,0.62809,0.60448,0.634957,0.636847,0.697349,0.680811,0.666625,0.66811
2.9238,0.63715,0.658643,0.628713,0.605557,0.636252,0.636183,0.695888,0.683751,0.668302,0.669617
2.924,0.637133,0.657588,0.628931,0.60709,0.636638,0.63586,0.695597,0.685009,0.669357,0.671378
2.9242,0.637079,0.656895,0.628826,0.607804,0.635859,0.636095,0.697187,0.68295,0.669367,0.672131
2.9244,0.637114,0.657541,0.628144,0.607763,0.634212,0.636554,0.698285,0.678939,0.668745,0.671966
2.9246,0.63717,0.659344,0.62659,0.607933,0.63322,0.636405,0.698329,0.675153,0.668253,0.671441
2.9248,0.637679,0.660939,0.624812,0.60831,0.633595,0.635496,0.698533,0.674253,0.668421,0.671563
2.925,0.638437,0.661755,0.623703,0.608545,0.634915,0.634171,0.698371,0.676087,0.669015,0.672712
2.9252,0.638377,0.661614,0.623565,0.608585,0.636579,0.633354,0.699065,0.677864,0.669403,0.674143
2.9254,0.637208,0.660515,0.623941,0.608237,0.637403,0.63289,0.700808,0.677574,0.669959,0.675278
2.9256,0.635538,0.659077,0.624143,0.607987,0.636578,0.632592,0.701045,0.674804,0.670746,0.675293
2.9258,0.634399,0.657925,0.623744,0.60856,0.635137,0.632738,0.700066,0.671144,0.671472,0.674678
2.926,0.634331,0.65745,0.622804,0.610236,0.634528,0.633093,0.699656,0.668578,0.671691,0.674905
2.9262,0.634659,0.657282,0.621882,0.612027,0.635114,0.633117,0.700747,0.669514,0.671715,0.676195
2.9264,0.634755,0.657096,0.62156,0.61327,0.636255,0.632548,0.701387,0.673164,0.671758,0.677582
2.9266,0.634252,0.656485,0.621953,0.613458,0.637239,0.631698,0.700754,0.67569,0.671873,0.678134
2.9268,0.632861,0.655782,0.622682,0.612961,0.637427,0.63116,0.700237,0.674896,0.672557,0.677707
2.927,0.631518,0.655496,0.623187,0.612912,0.636617,0.631237,0.701006,0.672184,0.673515,0.676399
2.9272,0.630982,0.655905,0.623148,0.6138,0.635606,0.631837,0.702189,0.669786,0.67442,0.675235
2.9274,0.631106,0.656661,0.622744,0.615544,0.63516,0.632606,0.702311,0.668729,0.674724,0.674959
2.9276,0.63081,0.657586,0.622385,0.61693,0.635762,0.633287,0.701092,0.669855,0.674352,0.675625
2.9278,0.629557,0.659279,0.622347,0.61722,0.637304,0.633637,0.700241,0.672688,0.674047,0.675903
2.928,0.627853,0.660885,0.622562,0.616632,0.638482,0.633567,0.701008,0.674485,0.674065,0.674894
2.9282,0.62627,0.661269,0.622735,0.61587,0.638139,0.633526,0.702489,0.673992,0.67421,0.672982
2.9284,0.625138,0.660501,0.622715,0.615323,0.63638,0.633898,0.702632,0.673384,0.674205,0.67096
2.9286,0.624739,0.658965,0.622813,0.615629,0.634718,0.634633,0.702567,0.673573,0.673795,0.669703
2.9288,0.625188,0.65724,0.622975,0.616983,0.634296,0.635261,0.703495,0.673793,0.673439,0.669702
2.929,0.625444,0.656044,0.623097,0.618263,0.634523,0.635403,0.704932,0.673768,0.673517,0.670636
2.9292,0.624644,0.655681,0.623094,0.61863,0.634479,0.635082,0.705535,0.673398,0.6738,0.671475
2.9294,0.623084,0.655912,0.622972,0.617862,0.633514,0.634858,0.704989,0.672428,0.674002,0.671357
2.9296,0.621599,0.65635,0.622785,0.616721,0.631874,0.635348,0.704149,0.671698,0.674176,0.670241
2.9298,0.620771,0.656691,0.622578,0.615987,0.630079,0.636457,0.704954,0.672248,0.673955,0.668853
2.93,0.620725,0.656759,0.622389,0.616068,0.629017,0.637661,0.706311,0.673599,0.673609,0.668131
2.9302,0.621162,0.656518,0.622167,0.616656,0.628838,0.638527,0.706117,0.674578,0.673172,0.66857
2.9304,0.621541,0.656157,0.621829,0.617089,0.628531,0.638952,0.704157,0.674791,0.673561,0.669872
2.9306,0.621449,0.656012,0.621376,0.617368,0.627287,0.639029,0.703636,0.67431,0.674775,0.67112
2.9308,0.620866,0.656044,0.620938,0.61709,0.625353,0.639055,0.704883,0.673009,0.675787,0.671418
2.931,0.620245,0.655997,0.620583,0.61645,0.623232,0.63934,0.704558,0.672193,0.67558,0.670844
2.9312,0.619827,0.656161,0.620093,0.61577,0.621834,0.639818,0.702566,0.673239,0.674533,0.670216
2.9314,0.619761,0.656707,0.61936,0.615199,0.621933,0.640398,0.699412,0.675019,0.673518,0.669955
2.9316,0.620062,0.657043,0.618868,0.615125,0.623,0.64042,0.697545,0.675439,0.673311,0.670044
2.9318,0.620511,0.6566,0.618739,0.615628,0.623816,0.640058,0.696622,0.673704,0.674128,0.670169
2.932,0.620586,0.655487,0.619018,0.616362,0.623556,0.639296,0.696119,0.670764,0.675295,0.670045
2.9322,0.620284,0.654317,0.61939,0.616625,0.622502,0.638405,0.694526,0.668417,0.676239,0.669745
2.9324,0.619951,0.653784,0.619188,0.616788,0.621422,0.637838,0.691604,0.668158,0.676476,0.669646
