TIME,B32Vrms
8.445,223.965
8.45,223.828
8.455,224.24
8.46,223.948
8.465,223.724
8.47,226.831
8.475,224.839
8.48,225.081
8.485,225.554
8.49,224.448
8.495,224.146
8.5,225.128
8.505,225.251
8.51,225.142
8.515,225.508
8.52,225.388
8.525,225.605
8.53,225.093
8.535,227.882
8.54,225.539
8.545,225.091
8.55,225.872
8.555,225.389
8.56,225.449
8.565,225.715
8.57,225.342
8.575,224.362
8.58,224.026
8.585,225.631
8.59,227.025
8.595,225.271
8.6,226.069
8.605,225.716
8.61,225.856
8.615,224.652
8.62,224.071
8.625,224.292
8.63,223.286
8.635,223.579
8.64,223.135
8.645,223.503
8.65,222.576
8.655,221.873
8.66,222.117
8.665,222.025
8.67,222.41
8.675,222.23
8.68,221.884
8.685,223.559
8.69,222.962
8.695,222.884
8.7,222.454
8.705,223.242
8.71,224.09
8.715,223.182
8.72,223.676
8.725,222.603
8.73,223.458
8.735,225.466
8.74,224.984
8.745,224.515
8.75,222.915
8.755,223.712
8.76,223.323
8.765,223.676
8.77,226.836
8.775,228.284
8.78,226.669
8.785,227.456
8.79,227.067
8.795,226.375
8.8,225.334
8.805,225.037
8.81,224.424
8.815,224.723
8.82,224.14
8.825,223.925
8.83,223.064
8.835,221.542
8.84,223.467
8.845,223.637
8.85,223.128
8.855,223.12
8.86,222.986
8.865,223.136
8.87,222.405
8.875,224.128
8.88,224.094
8.885,224.683
8.89,224.57
8.895,224.138
8.9,224.248
8.905,225.105
8.91,225.011
8.915,224.24
8.92,224.797
8.925,224.045
8.93,223.122
8.935,223.509
8.94,225.028
8.945,224.951
8.95,224.565
8.955,223.855
8.96,223.927
8.965,223.172
8.97,223.878
8.975,224.012
8.98,225.397
8.985,223.772
8.99,224.161
8.995,223.686
9,224.823
9.005,224.6
9.01,225.299
9.015,224.976
9.02,224.532
9.025,224.204
9.03,223.239
9.035,223.14
9.04,223.284
9.045,224.194
9.05,223.56
9.055,224.457
9.06,225.641
9.065,225.242
9.07,224.917
9.075,224.735
9.08,224.303
9.085,225.393
9.09,224.862
9.095,225.186
9.1,225.799
9.105,224.104
9.11,225.046
9.115,224.324
9.12,225.693
9.125,226.765
9.13,226.903
9.135,226.868
9.14,228.103
9.145,226.681
9.15,226.444
9.155,224.882
9.16,224.468
9.165,225.203
9.17,225.044
9.175,224.262
9.18,224.102
9.185,224.108
9.19,224.183
9.195,224.604
9.2,223.405
9.205,225.125
9.21,223.817
9.215,223.905
9.22,225.529
9.225,225.397
9.23,224.704
9.235,225.596
9.24,224.685
9.245,226.925
9.25,225.675
9.255,228.693
9.26,227.379
9.265,227.39
9.27,228.38
9.275,228.142
9.28,227.362
9.285,226.932
9.29,226.931
9.295,227.727
9.3,227.695
9.305,225.734
9.31,225
9.315,225.577
9.32,223.689
9.325,224.105
9.33,224.288
9.335,225.81
9.34,226.626
9.345,224.824
9.35,223.892
9.355,225.22
9.36,225.661
9.365,225.494
9.37,225.295
9.375,226.69
9.38,225.636
9.385,226.055
9.39,226.525
9.395,226.701
9.4,225.946
9.405,225.11
9.41,225.14
9.415,224.218
9.42,224.481
9.425,226.772
9.43,225.763
9.435,225.678
9.44,224.666
9.445,225.183
9.45,224.932
9.455,224.235
9.46,231.191
9.465,231.991
9.47,229.804
9.475,228.24
9.48,226.313
9.485,225.651
9.49,224.888
9.495,224.718
9.5,224.154
9.505,224.071
9.51,225.384
9.515,224.407
9.52,223.405
9.525,223.513
9.53,224.226
9.535,223.986
9.54,223.814
9.545,223.73
9.55,222.9
9.555,223.84
9.56,224.871
9.565,223.529
9.57,223.384
9.575,224.064
9.58,223.913
9.585,222.845
9.59,224.264
9.595,223.861
9.6,223.034
9.605,225.881
9.61,226.995
9.615,227.327
9.62,226.945
9.625,226.187
9.63,225.507
9.635,225.019
9.64,225.281
9.645,225.416
9.65,223.576
9.655,223.392
9.66,223.347
9.665,223.383
9.67,223.583
9.675,223.609
9.68,223.063
9.685,223.972
9.69,224.959
9.695,229.14
9.7,227.987
9.705,227.152
9.71,226.732
9.715,225.559
9.72,225.098
9.725,223.954
9.73,223.562
9.735,223.765
9.74,224.065
9.745,223.825
9.75,222.247
9.755,222.029
9.76,221.829
9.765,221.672
9.77,221.779
9.775,222.366
9.78,222.91
9.785,222.654
9.79,222.73
